User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method
56031,M,57,S,Regular,Yes,Yes,Yes,Yes,Bank Transfer
25913,F,51,M,Regular,Yes,Yes,No,No,Bank Transfer
19396,M,41,M,Seldom,Yes,Yes,Yes,No,Website Account
93666,M,66,S,Regular,Yes,Yes,Yes,Yes,Credit Card
72282,F,31,S,Seldom,Yes,No,Yes,No,Website Account
64466,M,68,M,Regular,Yes,Yes,Yes,No,Bank Transfer
76655,F,51,S,Seldom,Yes,No,No,No,Website Account
48465,F,36,S,Frequent,Yes,No,Yes,No,Website Account
19889,M,29,M,Regular,Yes,Yes,Yes,No,Website Account
63570,M,61,M,Frequent,Yes,No,Yes,No,Website Account
63239,M,47,S,Regular,Yes,No,Yes,No,Website Account
67603,F,62,S,Regular,Yes,Yes,Yes,No,Website Account
65685,M,32,M,Regular,Yes,No,Yes,No,Bank Transfer
77373,M,17,M,Seldom,Yes,No,Yes,No,Credit Card
54239,M,36,S,Regular,Yes,No,Yes,Yes,Website Account
55781,M,58,S,Regular,No,Yes,Yes,Yes,Bank Transfer
19854,F,62,M,Regular,Yes,Yes,Yes,No,Monthly Billing
27852,M,37,S,Seldom,Yes,No,Yes,No,Bank Transfer
85169,F,28,M,Seldom,Yes,No,Yes,No,Monthly Billing
62492,M,43,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
90254,F,29,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
81277,F,36,S,Regular,Yes,Yes,No,No,Website Account
15575,M,37,M,Seldom,Yes,No,Yes,Yes,Website Account
88000,F,56,S,Seldom,Yes,No,Yes,No,Monthly Billing
57301,M,63,M,Seldom,Yes,Yes,Yes,Yes,Website Account
81776,M,64,M,Seldom,Yes,No,No,No,Bank Transfer
34642,F,42,S,Regular,Yes,Yes,Yes,Yes,Bank Transfer
30573,M,54,S,Regular,Yes,No,Yes,Yes,Website Account
92903,F,37,M,Seldom,Yes,No,Yes,Yes,Bank Transfer
97263,M,29,M,Regular,Yes,No,Yes,No,Bank Transfer
36740,M,65,S,Regular,Yes,Yes,Yes,Yes,Credit Card
50414,M,48,M,Regular,Yes,No,Yes,No,Credit Card
59901,F,32,M,Seldom,Yes,No,Yes,Yes,Bank Transfer
27135,M,67,M,Seldom,Yes,No,Yes,No,Credit Card
75778,M,66,M,Seldom,Yes,No,Yes,No,Credit Card
25250,M,59,S,Seldom,Yes,No,Yes,Yes,Bank Transfer
76172,F,47,S,Seldom,Yes,Yes,No,Yes,Credit Card
68362,F,47,M,Seldom,Yes,Yes,Yes,Yes,Website Account
59361,M,65,M,Seldom,Yes,No,No,No,Bank Transfer
75104,F,43,M,Seldom,Yes,No,Yes,No,Bank Transfer
97899,F,50,S,Seldom,Yes,Yes,No,Yes,Monthly Billing
53506,M,37,M,Seldom,Yes,No,Yes,Yes,Website Account
56204,F,25,S,Seldom,Yes,No,No,No,Credit Card
67586,M,51,M,Seldom,Yes,No,No,Yes,Credit Card
92932,M,26,M,Regular,Yes,No,Yes,No,Website Account
70473,M,50,S,Frequent,Yes,No,No,No,Website Account
65341,F,32,S,Seldom,Yes,No,Yes,No,Website Account
20555,F,32,S,Seldom,Yes,No,Yes,No,Website Account
83754,F,36,S,Frequent,Yes,No,Yes,No,Website Account
69809,M,47,S,Regular,Yes,No,No,Yes,Credit Card
15065,M,48,S,Regular,Yes,No,No,Yes,Credit Card
19303,F,49,S,Seldom,Yes,No,Yes,Yes,Monthly Billing
97649,M,35,S,Regular,Yes,No,Yes,Yes,Website Account
68265,M,57,S,Regular,No,Yes,Yes,Yes,Bank Transfer
22144,F,32,S,Seldom,Yes,No,Yes,No,Website Account
35417,M,28,M,Regular,No,No,Yes,No,Monthly Billing
92068,M,55,S,Seldom,Yes,No,Yes,No,Website Account
16994,F,67,M,Frequent,No,Yes,No,Yes,Website Account
63405,F,55,S,Seldom,Yes,No,Yes,No,Website Account
14799,F,55,S,Seldom,Yes,No,Yes,No,Website Account
74414,M,64,M,Seldom,Yes,Yes,Yes,No,Monthly Billing
52869,M,62,S,Seldom,Yes,No,Yes,No,Website Account
50777,F,34,S,Regular,Yes,Yes,Yes,No,Website Account
66884,M,67,S,Seldom,Yes,No,Yes,Yes,Bank Transfer
14507,M,48,S,Regular,Yes,No,Yes,No,Website Account
96545,F,61,S,Regular,Yes,Yes,Yes,No,Website Account
28983,F,64,M,Seldom,Yes,Yes,Yes,Yes,Monthly Billing
87211,F,65,S,Seldom,Yes,No,Yes,Yes,Website Account
13408,M,68,M,Seldom,Yes,No,No,No,Bank Transfer
57746,M,43,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
87341,F,57,S,Regular,Yes,No,No,Yes,Website Account
55308,F,29,S,Regular,Yes,No,Yes,Yes,Bank Transfer
75706,F,31,M,Seldom,Yes,No,Yes,No,Monthly Billing
76970,M,47,S,Seldom,Yes,No,Yes,No,Credit Card
24719,F,23,S,Seldom,Yes,No,No,No,Credit Card
55084,F,67,M,Regular,Yes,No,No,No,Website Account
87205,M,53,S,Seldom,Yes,No,Yes,No,Website Account
18228,F,52,M,Seldom,Yes,No,Yes,No,Bank Transfer
13880,M,48,S,Seldom,Yes,No,Yes,Yes,Website Account
78234,M,23,M,Regular,Yes,Yes,Yes,Yes,Website Account
26499,F,33,S,Seldom,Yes,Yes,Yes,No,Website Account
26056,M,45,S,Seldom,Yes,Yes,Yes,No,Website Account
56380,M,43,S,Seldom,Yes,Yes,Yes,No,Bank Transfer
14730,M,52,M,Frequent,Yes,Yes,Yes,No,Bank Transfer
31365,F,36,S,Regular,Yes,Yes,Yes,No,Website Account
81704,M,19,M,Seldom,Yes,Yes,Yes,Yes,Website Account
20677,F,46,S,Seldom,Yes,No,Yes,No,Monthly Billing
22923,F,50,S,Seldom,Yes,Yes,No,Yes,Monthly Billing
