User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method,eReader_Adoption
9552,M,61,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
6757,M,27,M,Regular,Yes,No,Yes,No,Bank Transfer,Innovator
3599,F,29,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter
6811,M,49,M,Seldom,Yes,Yes,Yes,Yes,Website Account,Early Adopter
4104,M,29,S,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
7226,M,60,S,Seldom,No,Yes,Yes,Yes,Credit Card,Early Majority
7814,F,53,S,Regular,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
4693,F,63,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
7266,M,46,M,Regular,Yes,Yes,Yes,Yes,Monthly Billing,Innovator
5259,F,25,S,Seldom,Yes,Yes,Yes,No,Website Account,Early Majority
7417,F,40,M,Regular,Yes,Yes,No,Yes,Website Account,Innovator
6795,M,29,S,Seldom,Yes,Yes,Yes,Yes,Credit Card,Early Adopter
8669,F,49,S,Seldom,Yes,Yes,Yes,No,Monthly Billing,Late Majority
9888,M,41,M,Regular,Yes,Yes,Yes,Yes,Credit Card,Innovator
9181,F,47,S,Regular,Yes,No,No,Yes,Bank Transfer,Innovator
2792,F,43,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
5174,M,63,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter
8702,F,37,M,Regular,No,Yes,Yes,Yes,Monthly Billing,Early Adopter
4318,M,32,S,Seldom,Yes,Yes,Yes,No,Credit Card,Early Majority
6091,M,48,M,Seldom,No,No,No,No,Credit Card,Late Majority
8380,F,57,M,Seldom,Yes,No,Yes,Yes,Monthly Billing,Early Adopter
6892,M,36,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Early Majority
7976,F,55,S,Seldom,Yes,No,No,No,Bank Transfer,Late Majority
7214,F,50,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
3369,F,48,S,Seldom,Yes,Yes,No,No,Website Account,Late Majority
1645,F,33,S,Regular,Yes,Yes,Yes,Yes,Bank Transfer,Innovator
2866,F,22,S,Seldom,Yes,No,No,Yes,Bank Transfer,Early Adopter
7014,F,21,M,Seldom,Yes,Yes,No,Yes,Bank Transfer,Early Adopter
6177,M,49,M,Seldom,Yes,No,Yes,No,Monthly Billing,Late Majority
6199,M,47,M,Seldom,Yes,Yes,Yes,Yes,Monthly Billing,Early Adopter
4787,M,21,M,Seldom,No,Yes,Yes,Yes,Bank Transfer,Early Adopter
1720,F,48,M,Seldom,Yes,No,Yes,Yes,Credit Card,Early Majority
7763,F,55,S,Regular,Yes,Yes,Yes,No,Credit Card,Early Majority
7356,M,37,S,Seldom,Yes,No,Yes,No,Credit Card,Early Majority
6916,M,36,M,Seldom,Yes,No,No,No,Website Account,Late Majority
2979,F,19,M,Seldom,No,No,Yes,Yes,Bank Transfer,Innovator
1328,M,22,S,Seldom,Yes,No,No,No,Website Account,Early Majority
7817,M,45,S,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
4937,F,46,M,Regular,Yes,No,Yes,Yes,Bank Transfer,Innovator
3879,F,44,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
1757,F,55,M,Seldom,Yes,No,Yes,Yes,Monthly Billing,Early Adopter
9651,M,31,M,Seldom,Yes,No,Yes,No,Website Account,Late Majority
8096,F,18,S,Seldom,Yes,No,Yes,No,Website Account,Early Majority
5575,F,45,S,Seldom,No,Yes,Yes,No,Bank Transfer,Late Majority
7793,F,23,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Innovator
4423,F,62,S,Seldom,Yes,No,Yes,No,Website Account,Late Majority
7117,F,46,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
6974,M,62,M,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
5928,M,65,M,Seldom,Yes,Yes,No,No,Bank Transfer,Late Majority
6415,F,25,M,Seldom,Yes,No,Yes,Yes,Monthly Billing,Early Adopter
3505,M,48,S,Seldom,Yes,Yes,No,No,Monthly Billing,Late Majority
5108,F,60,M,Frequent,Yes,Yes,Yes,Yes,Monthly Billing,Early Adopter
9895,F,58,M,Frequent,Yes,No,Yes,No,Bank Transfer,Early Adopter
2670,F,59,M,Regular,Yes,Yes,Yes,Yes,Monthly Billing,Early Adopter
8231,M,56,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter
5429,M,36,M,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
8951,F,48,S,Seldom,No,No,Yes,Yes,Bank Transfer,Early Majority
7488,F,22,S,Seldom,Yes,No,Yes,No,Bank Transfer,Early Majority
3514,M,55,S,Regular,Yes,No,Yes,No,Bank Transfer,Early Majority
4303,F,18,S,Seldom,Yes,Yes,Yes,Yes,Website Account,Innovator
9547,F,63,M,Frequent,Yes,Yes,Yes,No,Bank Transfer,Early Adopter
5666,F,22,M,Regular,Yes,Yes,Yes,No,Website Account,Early Adopter
3960,F,37,M,Regular,Yes,No,Yes,No,Bank Transfer,Early Adopter
4177,M,19,S,Regular,Yes,No,Yes,No,Website Account,Early Adopter
4838,F,53,S,Seldom,Yes,No,Yes,No,Monthly Billing,Late Majority
9939,M,37,M,Regular,Yes,No,No,No,Website Account,Early Adopter
2586,M,24,S,Seldom,Yes,No,Yes,No,Bank Transfer,Early Majority
7688,M,66,S,Regular,Yes,Yes,No,No,Bank Transfer,Early Majority
3243,M,45,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
1153,M,17,S,Seldom,Yes,No,Yes,Yes,Website Account,Early Adopter
1596,F,50,M,Frequent,Yes,No,Yes,No,Website Account,Early Adopter
6775,F,50,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
5524,M,23,M,Seldom,Yes,No,Yes,No,Website Account,Early Majority
9092,F,49,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
4850,M,63,M,Regular,Yes,Yes,No,No,Bank Transfer,Early Majority
9058,F,17,M,Seldom,Yes,No,Yes,No,Website Account,Early Majority
4766,F,27,S,Seldom,Yes,Yes,Yes,No,Credit Card,Early Majority
3170,M,62,M,Seldom,Yes,No,Yes,No,Website Account,Late Majority
1858,F,56,M,Regular,Yes,Yes,Yes,No,Credit Card,Early Majority
9327,M,27,S,Seldom,Yes,No,Yes,Yes,Monthly Billing,Early Adopter
9252,M,48,M,Seldom,Yes,Yes,Yes,No,Credit Card,Late Majority
5071,M,36,S,Seldom,No,No,Yes,Yes,Bank Transfer,Early Majority
7333,F,41,M,Regular,Yes,Yes,No,Yes,Website Account,Innovator
8184,M,37,M,Regular,Yes,Yes,No,No,Bank Transfer,Early Adopter
4148,M,27,M,Seldom,No,Yes,Yes,No,Website Account,Late Majority
8747,F,26,M,Regular,Yes,No,Yes,No,Website Account,Early Adopter
9201,F,41,M,Seldom,Yes,No,Yes,No,Bank Transfer,Early Majority
7500,F,44,M,Regular,No,No,Yes,Yes,Website Account,Early Adopter
8666,M,35,M,Seldom,Yes,Yes,Yes,Yes,Website Account,Early Adopter
6498,F,61,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
6014,F,17,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Early Majority
3377,F,19,S,Seldom,Yes,No,Yes,Yes,Website Account,Early Adopter
7464,F,59,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
8105,F,24,M,Regular,Yes,No,Yes,No,Credit Card,Innovator
8524,M,31,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Innovator
8653,F,43,S,Seldom,Yes,Yes,No,Yes,Credit Card,Early Adopter
2428,M,38,M,Seldom,Yes,No,Yes,No,Credit Card,Early Majority
4150,M,59,M,Seldom,Yes,No,Yes,No,Website Account,Late Majority
1798,M,36,S,Regular,Yes,No,Yes,Yes,Bank Transfer,Innovator
6210,M,39,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
5223,M,41,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Early Majority
4592,F,62,M,Regular,Yes,Yes,Yes,Yes,Credit Card,Early Adopter
2453,F,41,S,Seldom,No,No,Yes,No,Bank Transfer,Early Majority
2688,F,54,S,Regular,Yes,No,Yes,No,Website Account,Early Majority
1415,F,23,M,Seldom,Yes,Yes,Yes,No,Monthly Billing,Early Majority
3171,M,49,S,Regular,Yes,Yes,Yes,Yes,Website Account,Early Adopter
2296,F,59,M,Regular,Yes,Yes,Yes,Yes,Bank Transfer,Innovator
6745,F,39,M,Regular,Yes,No,No,Yes,Website Account,Innovator
8701,F,60,M,Seldom,Yes,No,Yes,Yes,Website Account,Early Adopter
6413,F,48,M,Regular,Yes,Yes,Yes,No,Website Account,Early Majority
2045,M,29,M,Seldom,No,No,Yes,No,Bank Transfer,Early Majority
8749,M,22,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Early Majority
6097,F,44,M,Seldom,Yes,Yes,Yes,Yes,Website Account,Early Majority
6058,M,36,M,Seldom,No,No,Yes,No,Bank Transfer,Early Majority
4491,F,43,M,Frequent,Yes,No,Yes,No,Bank Transfer,Innovator
3056,M,38,M,Seldom,Yes,No,Yes,Yes,Website Account,Early Majority
4006,F,56,M,Seldom,Yes,Yes,No,Yes,Bank Transfer,Early Majority
9726,F,41,M,Seldom,Yes,Yes,No,No,Bank Transfer,Early Majority
6439,F,28,S,Seldom,No,Yes,Yes,No,Monthly Billing,Late Majority
5860,M,37,M,Regular,Yes,Yes,Yes,No,Bank Transfer,Early Adopter
1601,F,38,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Majority
4684,F,52,M,Seldom,Yes,Yes,No,Yes,Credit Card,Early Adopter
9643,F,41,S,Seldom,Yes,No,Yes,No,Bank Transfer,Early Majority
9974,M,38,M,Regular,Yes,Yes,Yes,Yes,Website Account,Innovator
2408,M,41,M,Seldom,Yes,Yes,Yes,No,Credit Card,Early Majority
7309,F,20,M,Seldom,Yes,No,Yes,Yes,Credit Card,Early Adopter
2528,M,46,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
2097,F,50,M,Regular,Yes,No,Yes,Yes,Credit Card,Innovator
4747,F,27,M,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
9845,M,62,S,Regular,Yes,No,Yes,Yes,Credit Card,Innovator
4995,M,54,M,Regular,Yes,No,No,Yes,Bank Transfer,Innovator
4166,F,32,M,Seldom,No,Yes,Yes,Yes,Monthly Billing,Early Adopter
1110,M,45,M,Seldom,Yes,No,No,Yes,Website Account,Early Adopter
2963,F,61,S,Seldom,No,No,Yes,Yes,Credit Card,Early Majority
2908,F,45,M,Frequent,Yes,No,No,No,Bank Transfer,Innovator
6587,F,31,M,Seldom,Yes,Yes,No,No,Credit Card,Early Majority
2392,M,38,S,Regular,Yes,Yes,No,No,Credit Card,Early Adopter
4277,F,16,M,Regular,Yes,Yes,Yes,No,Website Account,Early Adopter
1438,F,50,M,Seldom,Yes,No,Yes,Yes,Website Account,Early Majority
8813,M,43,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
9461,F,50,S,Seldom,Yes,No,No,No,Credit Card,Late Majority
6695,M,58,S,Regular,Yes,No,Yes,No,Credit Card,Early Majority
9716,M,25,S,Regular,Yes,Yes,Yes,No,Website Account,Early Adopter
3873,M,54,S,Frequent,Yes,Yes,Yes,Yes,Monthly Billing,Innovator
3027,M,19,M,Regular,Yes,Yes,Yes,No,Website Account,Early Adopter
1588,F,65,M,Seldom,Yes,No,No,Yes,Website Account,Early Majority
9793,F,55,M,Regular,Yes,Yes,No,Yes,Website Account,Early Adopter
7481,M,18,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Early Majority
8002,F,55,S,Regular,Yes,No,Yes,Yes,Website Account,Early Majority
7615,M,56,S,Seldom,Yes,No,Yes,No,Bank Transfer,Late Majority
3715,M,26,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Innovator
3518,F,22,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Early Majority
1388,F,59,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Majority
4833,F,40,S,Seldom,Yes,Yes,No,No,Website Account,Late Majority
7365,M,24,M,Regular,Yes,No,Yes,No,Credit Card,Innovator
8431,F,59,M,Seldom,Yes,No,No,No,Website Account,Late Majority
8722,M,33,M,Seldom,Yes,Yes,No,No,Credit Card,Early Majority
3712,M,56,M,Frequent,Yes,No,Yes,Yes,Website Account,Innovator
1530,M,66,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Majority
9492,M,60,M,Regular,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter
3432,M,37,S,Seldom,No,Yes,Yes,Yes,Website Account,Early Adopter
3793,M,55,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Majority
3235,M,45,S,Regular,No,No,No,No,Website Account,Early Majority
1654,M,35,S,Seldom,Yes,No,Yes,No,Bank Transfer,Early Majority
6147,F,32,M,Frequent,Yes,Yes,No,No,Monthly Billing,Innovator
6266,M,53,S,Seldom,Yes,No,Yes,No,Website Account,Late Majority
9303,F,34,S,Seldom,Yes,No,Yes,No,Bank Transfer,Early Majority
3777,F,48,S,Seldom,Yes,Yes,No,Yes,Monthly Billing,Early Adopter
